"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VX4UTRFI","journalArticle","1889","Hilbert, David","Über Büschel von binären Formen mit vorgeschriebener minante","Mathem. Annalen","","","","","","1889","2024-03-29 17:08:07","2024-03-29 17:13:52","","227-236","","","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HPCFKMUB","journalArticle","1888","Hilbert, David","Zur Theorie der algebraischen Gebilde I","Göttinger Nachrichten","","","","","","1888","2024-03-29 17:13:52","2024-03-29 17:14:47","","450-457","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SUG3MBRD","journalArticle","1889","Hilbert, David","Zur Theorie der algebraischen Gebilde II","Göttinger Nachrichten","","","","","","1889","2024-03-29 17:14:47","2024-03-29 17:15:16","","26-34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HSF8ZH92","journalArticle","1889","Hilbert, David","Zur Theorie der algebraischen Gebilde III","Göttinger Nachrichten","","","","","","1889","2024-03-29 17:15:16","2024-03-29 17:15:53","","423-430","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UWCW3MV3","journalArticle","1890","Hilbert, David","Über die Theorie der algebraischen Formen.","Mathem. Annalen","","","","","","1890","2024-03-29 17:15:53","2024-03-29 17:18:19","","473-534","","","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALQLQDZH","journalArticle","1891","Hilbert, David; Hurwitz, A","Über die diophantisohen Gleichungen vom Geschlecht Null","Acta Mathematica","","","","","","1891","2024-03-29 17:18:19","2024-03-29 17:19:37","","217-224","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K4M3C3BU","journalArticle","1892","Hilbert, David","Über die Irreduzibilität ganzer rationaler Funktionen mit ganzzahligen Koeffizienten","Journ. f. reine und angew. Math.","","","","","","1892","2024-03-29 17:19:40","2024-03-29 17:20:55","","104-129","","","110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TXHE8SHQ","journalArticle","1893","Hilbert, David","Über die vollen Invariantensysteme","Mathem. Annalen","","","","","","1893","2024-03-29 17:20:55","2024-03-29 17:22:06","","313-373","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FYK9HUZQ","journalArticle","1893","Hilbert, David","Über ternäre definite Formen","Acta Mathematica","","","","","","1893","2024-03-29 17:22:06","2024-03-29 17:22:33","","169-197","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZUPX2V7","journalArticle","1894","Hilbert, David","Ein Beitrag zur Theorie des Legendreschen Polynoms","Acta Mathematica","","","","","","1894","2024-03-29 17:22:33","2024-03-29 17:23:14","","166-169","","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7QBZ5LKU","journalArticle","1896","Hilbert, David","Zur Theorie der aus n Haupteinheiten gebildeten komplexen Größen","Göttinger Nachrichten","","","","","","1896","2024-03-29 17:23:14","2024-03-29 17:23:47","","179-183","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QQSWLI6D","conferencePaper","1893","Hilbert, David","Über die Theorie der algebraischen Invarianten","","","","","","","1893","2024-03-29 17:23:48","2024-03-29 17:41:12","","116-124","","","","","","","","","","","","Chicago","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","International Math. Congress","","","","","","","","","","","","","","",""
"TYWZQUFC","journalArticle","1897","Hilbert, David","Über diophantische Gleichungen","Göttinger Nachrichten","","","","","","1897","2024-03-29 17:41:12","2024-03-29 17:41:42","","48-64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UECDQV9B","journalArticle","1914","Hilbert, David","Über die Invarianten eines Systems von beliebig vielen Grundformen","Mathem. Abhandlungen","","","","","","1914","2024-03-29 17:45:57","2024-04-01 21:54:24","","448-451","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VXIYPTAI","journalArticle","1927","Hilbert, David","Über die Gleichung neunten Grades","Mathem. Annalen","","","","","","1927","2024-03-29 17:51:26","2024-03-29 17:51:57","","243-260","","","97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YAMXZG9E","journalArticle","1891","Hilbert, David","Über die reellen Züge algebraischer Kurven","Mathem. Annalen","","","","","","1891","2024-03-29 17:51:57","2024-03-29 17:56:27","","115—138","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7HLZPPZD","journalArticle","1901","Hilbert, David","Über Flächen von konstanter Gaußseher Krümmung","Transactions of the American mathematical Society","","","","","","1901","2024-03-29 17:56:27","2024-03-29 17:56:53","","87-99","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86M4GRMS","journalArticle","1909","Hilbert, David","Über die Gestalt einer Fläche vierter Ordnung","Göttinger Nachrichten","","","","","","1909","2024-03-29 17:56:53","2024-03-29 17:57:22","","308-313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUSQ69CL","manuscript","","Hilbert, David","Consistency Proofs for Fragments of Arithmetic","","","","","","","N/A","2024-04-01 17:46:43","2024-04-01 17:46:43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3CB3235P","manuscript","1917","Hilbert, David","Prinzipien der Mathematik","","","","","","","1917","2024-04-01 17:46:43","2024-04-01 17:46:43","","","","","","","","","","","","","","Göttingen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H4CBX5NE","manuscript","1920","Hilbert, David","Logik-Kalkül","","","","","","","1920","2024-04-01 17:46:43","2024-04-01 17:46:43","","","","","","","","","","","","","","Göttingen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VKWPN8QA","manuscript","1920","Hilbert, David","Probleme der mathematischen Logik","","","","","","","1920","2024-04-01 17:46:43","2024-04-01 17:46:43","","","","","","","","","","","","","","Göttingen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q8GET9VM","manuscript","1921","Hilbert, David","Grundlagen der Mathematik","","","","","","","1921","2024-04-01 17:46:43","2024-04-01 17:46:43","","","","","","","","","","","","","","Göttingen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MZ4X5FWR","manuscript","1922","Hilbert, David","Logische Grundlagen der Mathematik","","","","","","","1922","2024-04-01 17:46:43","2024-04-01 17:46:43","","","","","","","","","","","","","","Göttingen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XCQSTBUJ","manuscript","1923","Hilbert, David","Logische Grundlagen der Mathematik","","","","","","","1923","2024-04-01 17:46:43","2024-04-01 17:46:43","","","","","","","","","","","","","","Göttingen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HZKTQGV3","manuscript","1924","Hilbert, David","Über das Unendliche","","","","","","","1924","2024-04-01 17:46:43","2024-04-01 17:46:43","","","","","","","","","","","","","","Göttingen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JUHN5VX6","manuscript","1927","Hilbert, David","Die Grundlagen der Mathematik","","","","","","","1927","2024-04-01 17:46:43","2024-04-01 17:46:43","","","","","","","","","","","","","","Hamburg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B26KQY9C","manuscript","1928","Hilbert, David","Probleme der Grundlegung der Mathematik","","","","","","","1928","2024-04-01 17:46:43","2024-04-01 17:46:43","","","","","","","","","","","","","","Bologna","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2R6DPMDC","manuscript","1931","Hilbert, David","Beweis des Tertium non datur","","","","","","","1931","2024-04-01 17:46:43","2024-04-01 17:46:43","","","","","","","","","","","","","","Göttingen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7RP8AIIE","manuscript","1931","Hilbert, David","Ueber die Grundlagen des Denkens","","","","","","","1931","2024-04-01 17:46:43","2024-04-01 17:46:43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
